fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
38,2024-01-01 00:00:00+00:00,2025-11-28 13:00:00+00:00,2025-11-28 14:00:00+00:00,2025-12-05 13:00:00+00:00,16740,168,168,63717.68467611688,81556.29550475327,5.58400112122775,0.9742809333288075,ridge
39,2024-01-01 00:00:00+00:00,2025-12-05 13:00:00+00:00,2025-12-05 14:00:00+00:00,2025-12-12 13:00:00+00:00,16908,168,168,51712.84516629834,67488.99405391452,4.85071909878717,0.9852821147633617,ridge
40,2024-01-01 00:00:00+00:00,2025-12-12 13:00:00+00:00,2025-12-12 14:00:00+00:00,2025-12-19 13:00:00+00:00,17076,168,168,78394.16730479791,104983.11793413092,7.076191325316381,0.9620987988670935,ridge
41,2024-01-01 00:00:00+00:00,2025-12-19 13:00:00+00:00,2025-12-19 14:00:00+00:00,2025-12-26 13:00:00+00:00,17244,168,168,61145.65375107153,80758.31360887732,6.305286161984924,0.9330821449655391,ridge
1,2024-01-01 00:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-14 14:00:00+00:00,2025-03-21 13:00:00+00:00,10525,168,168,62485.236559324236,85885.64522971687,5.405451426368792,0.9886250883198999,lasso
2,2024-01-01 00:00:00+00:00,2025-03-21 13:00:00+00:00,2025-03-21 14:00:00+00:00,2025-03-28 13:00:00+00:00,10693,168,168,63654.0459748079,84228.11965663882,6.046952298072685,0.9837393247102888,lasso
3,2024-01-01 00:00:00+00:00,2025-03-28 13:00:00+00:00,2025-03-28 14:00:00+00:00,2025-04-04 13:00:00+00:00,10861,168,168,87080.49059437876,148475.1611558527,7.133830734544709,0.9476703397063304,lasso
4,2024-01-01 00:00:00+00:00,2025-04-04 13:00:00+00:00,2025-04-04 14:00:00+00:00,2025-04-11 13:00:00+00:00,11029,168,168,58135.96356939091,72285.29654896841,6.663936737918584,0.9686599331417982,lasso
5,2024-01-01 00:00:00+00:00,2025-04-11 13:00:00+00:00,2025-04-11 14:00:00+00:00,2025-04-18 13:00:00+00:00,11197,168,168,69554.6699701002,96616.753722884,6.347065144814845,0.9726890458772379,lasso
6,2024-01-01 00:00:00+00:00,2025-04-18 13:00:00+00:00,2025-04-18 14:00:00+00:00,2025-04-25 13:00:00+00:00,11365,168,168,49994.703443923674,66354.68286727843,5.276107816265972,0.9906127892477212,lasso
7,2024-01-01 00:00:00+00:00,2025-04-25 13:00:00+00:00,2025-04-25 14:00:00+00:00,2025-05-02 13:00:00+00:00,11533,168,168,83159.89667127798,122352.13001227326,23.27124343473818,0.9344327924745168,lasso
8,2024-01-01 00:00:00+00:00,2025-05-02 13:00:00+00:00,2025-05-02 14:00:00+00:00,2025-05-09 13:00:00+00:00,11701,168,168,51384.32383920989,68898.56604072367,6.253206649697934,0.9721270264110746,lasso
9,2024-01-01 00:00:00+00:00,2025-05-09 13:00:00+00:00,2025-05-09 14:00:00+00:00,2025-05-16 13:00:00+00:00,11869,168,168,58848.69595653507,73563.11917765556,6.811880909737441,0.9264930989607509,lasso
10,2024-01-01 00:00:00+00:00,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,2025-05-23 13:00:00+00:00,12037,168,168,44852.9987398234,59289.95754012373,6.218927030355646,0.946963581473241,lasso
11,2024-01-01 00:00:00+00:00,2025-05-23 13:00:00+00:00,2025-05-23 14:00:00+00:00,2025-05-30 13:00:00+00:00,12205,168,168,34496.440041744994,44344.83816998102,6.358310922142279,0.9136457424305873,lasso
12,2024-01-01 00:00:00+00:00,2025-05-30 13:00:00+00:00,2025-05-30 14:00:00+00:00,2025-06-06 13:00:00+00:00,12373,168,168,53304.78988980561,68335.2977451755,7.317281266793138,0.9473887648776396,lasso
13,2024-01-01 00:00:00+00:00,2025-06-06 13:00:00+00:00,2025-06-06 14:00:00+00:00,2025-06-13 13:00:00+00:00,12541,168,168,48323.67174441996,61586.336793380215,6.80346665941291,0.9192443378590065,lasso
14,2024-01-01 00:00:00+00:00,2025-06-13 13:00:00+00:00,2025-06-13 14:00:00+00:00,2025-06-20 13:00:00+00:00,12709,168,168,50553.04619135003,70612.4486256394,7.102328976643762,0.9356959757039076,lasso
15,2024-01-01 00:00:00+00:00,2025-06-20 13:00:00+00:00,2025-06-20 14:00:00+00:00,2025-06-27 13:00:00+00:00,12877,168,168,49684.04475291022,75480.77208200126,7.548425484528506,0.8897845061292619,lasso
16,2024-01-01 00:00:00+00:00,2025-06-27 13:00:00+00:00,2025-06-27 14:00:00+00:00,2025-07-04 13:00:00+00:00,13045,168,168,46309.823673893196,64602.310988227,7.359644036841291,0.9083448174685637,lasso
17,2024-01-01 00:00:00+00:00,2025-07-04 13:00:00+00:00,2025-07-04 14:00:00+00:00,2025-07-11 13:00:00+00:00,13213,168,168,51924.83885980442,70404.6051725187,7.608247823485276,0.9525294690878985,lasso
18,2024-01-01 00:00:00+00:00,2025-07-11 13:00:00+00:00,2025-07-11 14:00:00+00:00,2025-07-18 13:00:00+00:00,13381,168,168,52433.72960834483,70144.68402422106,7.260372342679271,0.9375415045931315,lasso
19,2024-01-01 00:00:00+00:00,2025-07-18 13:00:00+00:00,2025-07-18 14:00:00+00:00,2025-07-25 13:00:00+00:00,13549,168,168,70092.44943780972,89140.05673226697,5.952108993029163,0.9305574935557365,lasso
20,2024-01-01 00:00:00+00:00,2025-07-25 13:00:00+00:00,2025-07-25 14:00:00+00:00,2025-08-01 13:00:00+00:00,13717,168,168,61992.34310103833,81907.19246293174,7.656000089116039,0.9629677285331472,lasso
21,2024-01-01 00:00:00+00:00,2025-08-01 13:00:00+00:00,2025-08-01 14:00:00+00:00,2025-08-08 13:00:00+00:00,13885,168,168,40315.866316463886,53555.300547744024,7.576923648461189,0.8843749025724219,lasso
22,2024-01-01 00:00:00+00:00,2025-08-08 13:00:00+00:00,2025-08-08 14:00:00+00:00,2025-08-15 13:00:00+00:00,14053,168,168,51535.726699132916,78269.77666688024,8.007176900772393,0.8989391763786141,lasso
23,2024-01-01 00:00:00+00:00,2025-08-15 13:00:00+00:00,2025-08-15 14:00:00+00:00,2025-08-22 13:00:00+00:00,14221,168,168,51753.91618449377,68143.07368538578,5.718451701551739,0.96429278062451,lasso
24,2024-01-01 00:00:00+00:00,2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00,2025-08-29 13:00:00+00:00,14389,168,168,54094.851293086394,70973.47988534905,6.006288392886943,0.971321322858647,lasso
